NOTIFICATION,DESCRIPTION,PRIORITY,INITIAL RECOMMENDATION,State,NEW RECOMMENDATION,ENGINEERING REVIEW OUTCOMES
24817835,handle valve deteriorated and badly corroded,4,to be rectified,remain,to be rectified,replace handle valve with surplus material. dispose valve
24822398,detached due to deterioration,4,to be rectified,remain,to be rectified,repairy. install ubolts if necessary
24822398,detached due to deterioration,4,to be rectified,remain,to be rectified,repairy. install ubolts if necessary
24822398,detached due to deterioration,4,to be rectified,remain,to be rectified,repairy. install ubolts if necessary
24822424,structure dented bend,4,to be rectified,remain,to be rectified,rectify bending and replace ubolts
24822424,structure dented bend,4,to be rectified,remain,to be rectified,rectify bending and replace ubolts
24822424,structure dented bend,4,to be rectified,remain,to be rectified,rectify bending and replace ubolts
24260736, handrail dented due to mechanical damage selected area,4,to be rectified,revise,to be painted,paint due to damage at handrail only
24260739,perforation deterioration noted on bottom section of handrail structure,4,to be rectified,revise,to be repaired/ replaced,prefab at yard.replace handrail and use hilti for handrail support
24260740,perforation deterioration noted on bottom section of handrail structure,4,to be rectified,revise,to be repaired/ replaced,prefab at yard. replace handrail and use hilti for handrail support
24260724, dented corroded bottom section noted on handrails kick plate structure,4,to be repaired/ replaced,revise,to be rectified,straighten and align kick plate then maintenance painting
24260725, badly corroded noted on bottom section handrail kick plate structure selected area,4,to be repaired/ replaced,revise,to be painted,paint corroded bottom section handrail and kick plate
24260638, several spots of coating damaged appear on handrails kick plates with corrosion build up selected area,4,to be repaired/ replaced,revise,to be painted,paint corroded handrail and kick plate
24260639, several spots of coating damaged appear on handrails kick plates with corrosion build up selected area,4,to be repaired/ replaced,revise,to be painted,paint corroded handrail and kick plate
24926456, cups,4,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24430974,pipe in contact with grating sign of corrosion,4,to be rectified,remain,to be rectified,trim grating
24474554, pitting on pipework approx 150mm to 250mm ultrasonic test adjacent area 1508mm,4,to be repaired/ replaced,revise,to be painted,paint corroded pipe. rust grade c
24474554, pitting on pipework approx 150mm to 250mm ultrasonic test adjacent area 1508mm,4,to be repaired/ replaced,revise,to be painted,paint corroded pipe. rust grade c
24474554, pitting on pipework approx 150mm to 250mm ultrasonic test adjacent area 1508mm,4,to be repaired/ replaced,revise,to be painted,paint corroded pipe. rust grade c
24474554, pitting on pipework approx 150mm to 250mm ultrasonic test adjacent area 1508mm,4,to be repaired/ replaced,revise,to be painted,paint corroded pipe. rust grade c
24474554, pitting on pipework approx 150mm to 250mm ultrasonic test adjacent area 1508mm,4,to be repaired/ replaced,revise,to be painted,paint corroded pipe. rust grade c
24373781,v9505 level gauge and pressure gauge,4,to be repaired/ replaced,remain,to be repaired/ replaced,replace bolts and nuts insulation sleeve reclassified to static ta
24260752,thick scaling and deteriorated noted on footing bottom section of handrail structure selected area,4,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a functionalized graphene oxide rust converter coating. in between flange to flange usem1a functionalized graphene oxide rust converter
24218543,crevice corrosion with rust stain at riser pipe and support contact point,4,to be repaired/ replaced,revise,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet teflon is acceptable since location below deck plate
70133633,general corrosion and corrosion with scaling on bolt and nuts at all flange connections,4,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut and pipe with m1a coating. in between flange to flange use spray single pack zinc coating for pipe propose to use power tooling for surface preparation. rust grade cd
24417795,valve handle broken,3,to be repaired/ replaced,revise,to be rectified,replace valve handle with surplus material. dispose valve
24417796,pipe leaked pipe hanging,3,to be repaired/ replaced,revise,to be rectified,reassess location of leak area check pipe design on support requirement
24417841,valve handle broken,3,to be repaired/ replaced,revise,to be rectified,replace valve handle with surplus material. dispose valve
24427929,pipe leaked at valve thick scale corrosion onbolt and nuts,1,to be repaired/ replaced,revise,to be rectified,proposed rectify using metal putty devcon
24836953,severe corrosion on globe valve and check valve body pipe support corroded with paint flaking,2,to be repaired/ replaced,revise,to be rectified,check valve butterfly valve handle repair
